data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-07-03 01:30:18.700000+00:00,usuario_anonimo_637,pensando em cultuvar mosquito da dengue pra ele me picar uma semana antes,[bubblwgumbitch.bsky.social]: *cultivar,0,0,at://did:plc:ecnzrjnhuuit36usco2eobdx/app.bsky.feed.post/3lszlcztnb22d,dengue,Comum
2025-07-03 00:53:34.034000+00:00,usuario_anonimo_3154,meu deus minha skyline tá pegando dengue de tanto q tá parada,[theoldest-dream.bsky.social]: Aí que tristeza | [jubtb.bsky.social]: Oioi,4,0,at://did:plc:rqmn5ciwkvyclt2nes3p7g3k/app.bsky.feed.post/3lszjbdck5c2k,dengue,Comum
2025-07-03 00:38:09.325000+00:00,usuario_anonimo_1018,"tô achando que é dengue, pq dengue que dá dor no corpo","[shayturkiye.bsky.social]: seria legal vc ir em um hospital amanhã bem cedo 

espero que não seja",1,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3lszifrgoyc2n,dengue,Comum
2025-07-03 00:25:59.167000+00:00,usuario_anonimo_4064,e o meu amigo que veio da china mês passado e não pode ver ninguém aqui pq pegou dengue 🤡,[tamagonana.bsky.social]: até agora rindo do absurdo,0,0,at://did:plc:ve7me2uv7gkwvk6imbw23omj/app.bsky.feed.post/3lszhpz3z3k2w,dengue,Comum
2025-07-02 23:06:42.108000+00:00,usuario_anonimo_1016,"2013-2018 era uma epoca muito engraçada no youtube, de um lado você tinha o authentic games conscientizado a rapaziada sobre a dengue, e do outro lado tinha o rezendeevil fazendo uns conteudos nivel the green elephant e holocausto canibal",,1,0,at://did:plc:resoiz3ac46s5jknkjvqkunl/app.bsky.feed.post/3lszdcag4n22a,dengue,Comum
2025-07-02 22:10:56.551358+00:00,g1-bot-rss.adilson.net.br,"Vale e região fecham semestre com mais de 20,3 mil casos e 15 mortes por dengue; veja número por cidades",,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3lsza6m262i2x,dengue,Oficial/Verificado
2025-07-02 21:33:51.273000+00:00,usuario_anonimo_3696,"O meu desespero quando o marido está doente e de atestado, é que ele fica assistindo filme ruim um atrás do outro, em um volume impraticável.  Ele pode estar com gripe, dengue, enxaqueca, ebola, não importa, vai ser assim","[marcuspessoa.bsky.social]: Não seria uma boa opção comprar um fone bluetooth?

Eu fiz isso quando meu irmão ficava o dia inteiro vendo vídeos de um time de futebol. | [jeffegn.bsky.social]: E tem jeito melhor de aproveitar o atestado? o ruim do fone é que não dá pra encostar a cabeça em lugar nenhum, então é melhor o som alto pra se sentir mais no filme do que na doença 😂",9,0,at://did:plc:3jb5fx3zd5xntipfuq227oev/app.bsky.feed.post/3lsz647nr2k22,dengue,Comum
2025-07-02 21:14:36.408000+00:00,compulsoriamente.online,"Mais um item na lista de desejos de vacinas que já conta com a da nonavalente pra HPV, dengue e Hepatite A",,3,0,at://did:plc:jijvbkzegf36qlwx2i7w57yw/app.bsky.feed.post/3lsz4zsbzas2k,dengue,Oficial/Verificado
2025-07-02 20:38:27.517000+00:00,usuario_anonimo_1018,acho que estou com dengue,,0,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3lsz2z5upn22d,dengue,Comum
2025-07-02 20:27:55.323000+00:00,usuario_anonimo_4006,Virose? Antes fosse pq a dengue me pegou,,0,0,at://did:plc:lbeu2bqypysaenwzobjrbp7a/app.bsky.feed.post/3lsz2gcxpns2u,dengue,Comum
